City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,limbang,4.75,115.0,25.06,99,100,1.04,MY,1667835520
183,acapulco,16.8634,-99.8901,27.9,74,0,2.06,MX,1667835520
184,longyearbyen,78.2186,15.6401,-2.09,86,75,7.72,SJ,1667835521
185,salalah,17.0151,54.0924,27.05,78,0,1.54,OM,1667835522
186,beyneu,45.3167,55.2,2.57,62,60,3.46,KZ,1667835522
187,ghanzi,-21.5667,21.7833,18.64,73,85,3.73,BW,1667835522
188,vila franca do campo,37.7167,-25.4333,18.44,82,100,6.7,PT,1667835343
189,papara,-3.9839,-38.7273,31.64,56,100,5.14,BR,1667835523
190,kizhinga,51.8462,109.9097,-5.09,85,88,1.45,RU,1667835523
191,eureka,40.8021,-124.1637,6.63,93,93,4.02,US,1667835264
192,nantucket,41.2835,-70.0995,20.08,88,100,6.17,US,1667835524
193,mount isa,-20.7333,139.5,22.87,53,56,0.0,AU,1667835309
194,airai,-8.9266,125.4092,16.78,91,100,0.8,TL,1667835524
195,hovd,48.0056,91.6419,2.13,51,61,3.91,MN,1667835525
196,shache,38.4167,77.2406,8.52,34,69,2.28,CN,1667835525
197,pisco,-13.7,-76.2167,19.45,77,20,3.6,PE,1667835525
198,rocha,-34.4833,-54.3333,20.95,53,0,6.1,UY,1667835506
199,grindsted,55.754,8.9123,12.91,93,75,3.6,DK,1667835526
200,talnakh,69.4865,88.3972,-12.66,96,100,1.69,RU,1667835526
201,katsuura,35.1333,140.3,17.19,83,62,4.44,JP,1667835527
202,ngunguru,-35.6167,174.5,14.72,91,100,8.45,NZ,1667835527
203,seoul,37.5683,126.9778,12.69,77,75,1.54,KR,1667835527
204,trincomalee,8.5711,81.2335,26.74,78,95,4.36,LK,1667835528
205,vanavara,60.34,102.2797,-4.62,92,100,5.1,RU,1667835528
206,emerald,-23.5333,148.1667,17.41,72,4,4.79,AU,1667835528
207,ponta delgada,37.7333,-25.6667,18.61,88,75,7.72,PT,1667835529
208,lakes entrance,-37.8811,147.981,12.31,92,23,2.07,AU,1667835529
209,leningradskiy,69.3833,178.4167,-13.9,86,32,2.02,RU,1667835530
210,grand-lahou,5.1367,-5.0242,28.29,70,97,3.31,CI,1667835530
211,kyaikto,17.3,97.0167,24.17,76,5,1.87,MM,1667835531
212,konevo,62.1215,39.3192,2.89,95,100,4.76,RU,1667835531
213,ust-tsilma,65.441,52.1498,0.32,94,100,2.9,RU,1667835531
214,guerrero negro,27.9769,-114.0611,18.74,71,99,4.76,MX,1667835532
215,vestmannaeyjar,63.4427,-20.2734,6.55,81,40,4.12,IS,1667835532
216,san andres,12.5847,-81.7006,28.01,83,40,2.06,CO,1667835460
217,nome,64.5011,-165.4064,-2.96,93,100,11.32,US,1667835533
218,andenes,69.3143,16.1194,4.4,75,75,7.72,NO,1667835533
219,harper,4.375,-7.7169,27.84,74,91,3.62,LR,1667835533
220,shimoda,34.6667,138.95,15.78,84,37,3.44,JP,1667835534
221,pendleton,45.6721,-118.7886,4.13,83,20,4.12,US,1667835502
222,santa maria,-29.6842,-53.8069,21.61,53,75,6.69,BR,1667835534
223,naron,43.5167,-8.1528,19.47,74,90,9.94,ES,1667835535
224,roma,43.2128,-75.4557,17.07,51,0,7.2,US,1667835363
225,norman wells,65.282,-126.8329,-20.98,77,20,3.6,CA,1667835535
226,gracac,44.3006,15.8547,12.86,84,1,1.88,HR,1667835536
227,alice town,25.7167,-79.3,26.25,72,0,10.81,BS,1667835536
228,constitucion,-35.3333,-72.4167,17.3,67,34,4.17,CL,1667835536
229,port elizabeth,-33.918,25.5701,23.39,78,0,10.29,ZA,1667835537
230,idappadi,11.5833,77.85,23.67,76,45,1.75,IN,1667835537
231,deputatskiy,69.3,139.9,-19.35,88,100,3.29,RU,1667835537
232,bathsheba,13.2167,-59.5167,30.34,70,20,8.23,BB,1667835538
233,necochea,-38.5473,-58.7368,25.71,35,4,6.25,AR,1667835538
234,hondo,32.45,130.2,16.56,67,0,3.06,JP,1667835539
235,namatanai,-3.6667,152.4333,26.58,81,97,0.81,PG,1667835539
236,conceicao do araguaia,-8.2578,-49.2647,28.91,67,100,2.02,BR,1667835540
237,krasnoufimsk,56.6059,57.7669,-1.7,84,100,3.23,RU,1667835540
238,cascais,38.6979,-9.4215,20.84,89,75,5.81,PT,1667835540
239,ako,34.75,134.4,12.43,78,26,2.17,JP,1667835541
240,ishigaki,24.3448,124.1572,24.07,83,75,6.69,JP,1667835541
241,mahanje,-9.9333,35.3333,27.1,32,55,3.78,TZ,1667835541
242,gamba,-2.65,10.0,26.78,79,78,3.98,GA,1667835542
243,katobu,-4.9408,122.5276,24.17,92,100,0.69,ID,1667835542
244,te anau,-45.4167,167.7167,8.64,92,99,0.49,NZ,1667835543
245,katangli,51.7102,143.2326,-5.0,83,39,4.48,RU,1667835543
246,korla,41.7597,86.1469,9.15,37,100,0.54,CN,1667835544
247,lavumisa,-27.31,31.892,25.45,65,90,3.43,SZ,1667835544
248,san quintin,30.4833,-115.95,17.36,79,100,4.26,MX,1667835545
249,coutances,49.05,-1.4333,14.53,73,60,9.09,FR,1667835545
250,krasnoselkup,65.7,82.4667,-8.41,95,100,4.84,RU,1667835545
251,oussouye,12.485,-16.5469,34.1,30,96,2.01,SN,1667835546
252,juan lacaze,-34.4342,-57.4381,25.04,49,0,5.04,UY,1667835546
253,belyy yar,53.6039,91.3903,-3.06,73,91,0.0,RU,1667835547
254,bela,25.9333,81.9833,22.89,47,34,1.27,IN,1667835547
255,maltahohe,-24.8333,16.9833,22.45,33,80,8.64,NA,1667835547
256,saint-augustin,51.226,-58.6502,13.67,79,89,6.21,CA,1667835548
257,northam,51.0333,-4.2167,14.23,85,100,11.34,GB,1667835548
258,beringovskiy,63.05,179.3167,-0.85,98,100,7.37,RU,1667835549
259,codrington,-38.2667,141.9667,13.31,91,5,3.48,AU,1667835549
260,atambua,-9.1061,124.8925,24.68,84,100,1.34,ID,1667835549
261,matagami,49.7502,-77.6328,3.06,87,100,5.14,CA,1667835550
262,kruisfontein,-34.0033,24.7314,22.16,65,97,6.47,ZA,1667835550
263,linkou,45.3,130.2833,-1.49,66,0,2.13,CN,1667835551
264,yar-sale,66.8333,70.8333,-6.16,94,100,3.87,RU,1667835551
265,panaba,21.2833,-88.2667,30.24,55,6,3.58,MX,1667835551
266,coquimbo,-29.9533,-71.3436,17.14,72,100,2.56,CL,1667835552
267,lazaro cardenas,17.9583,-102.2,28.06,72,26,0.54,MX,1667835553
268,conceicao do mato dentro,-19.0372,-43.425,27.27,43,18,2.44,BR,1667835553
269,vestmanna,62.1564,-7.1664,8.51,93,75,11.32,FO,1667835554
270,kodinsk,58.6881,99.1844,-3.04,85,100,6.22,RU,1667835554
271,garowe,8.4054,48.4845,28.07,43,12,7.28,SO,1667835554
272,gunjur,13.2019,-16.7339,29.99,41,53,3.74,GM,1667835555
273,banda aceh,5.5577,95.3222,26.39,81,100,2.66,ID,1667835555
274,geraldton,-28.7667,114.6,18.23,72,75,4.12,AU,1667835556
275,ribeira grande,38.5167,-28.7,19.87,72,75,6.17,PT,1667835556
276,sola,-13.8833,167.55,27.26,71,82,4.33,VU,1667835557
277,maragogi,-9.0122,-35.2225,27.59,68,100,4.1,BR,1667835557
278,faanui,-16.4833,-151.75,25.67,79,15,5.54,PF,1667835558
279,gonbad-e qabus,37.25,55.1672,10.53,71,100,2.13,IR,1667835558
280,atasu,48.6814,71.6433,-1.99,71,81,2.85,KZ,1667835559
281,tomatlan,19.9333,-105.25,26.09,66,1,0.26,MX,1667835559
282,sangar,63.9242,127.4739,-25.75,99,100,0.95,RU,1667835559
283,omboue,-1.5746,9.2618,26.82,82,64,3.87,GA,1667835560
284,meulaboh,4.1363,96.1285,24.93,88,98,0.81,ID,1667835560
285,santiago de cao,-7.9589,-79.2392,17.07,82,75,4.63,PE,1667835561
286,kaitangata,-46.2817,169.8464,8.66,91,86,2.22,NZ,1667835561
287,ostrovnoy,68.0531,39.5131,-0.83,93,100,2.73,RU,1667835562
288,mont-dore,-22.2833,166.5833,25.56,99,97,3.95,NC,1667835562
289,lompoc,34.6391,-120.4579,13.1,96,100,4.63,US,1667835299
290,tougue,11.4667,-11.6,29.82,36,72,2.9,GN,1667835563
291,umm lajj,25.0213,37.2685,25.69,58,0,4.89,SA,1667835563
292,pitimbu,-7.4706,-34.8086,30.33,62,91,4.89,BR,1667835564
293,camopi,3.1655,-52.3158,31.32,53,94,1.66,GF,1667835564
294,vostok,46.4856,135.8833,-2.86,94,73,1.96,RU,1667835565
295,chokurdakh,70.6333,147.9167,-20.95,89,100,6.1,RU,1667835565
296,pevek,69.7008,170.3133,-14.79,92,9,2.71,RU,1667835566
297,wodonga,-36.1167,146.8833,13.87,100,8,1.45,AU,1667835377
298,port pirie,-33.1833,138.0167,22.57,36,61,8.34,AU,1667835566
299,poum,-20.2333,164.0167,25.29,82,29,4.05,NC,1667835567
300,sfantu gheorghe,45.8667,25.7833,12.18,65,8,0.96,RO,1667835567
301,seybaplaya,19.65,-90.6667,26.7,57,8,1.62,MX,1667835568
302,merauke,-8.4667,140.3333,26.82,81,100,3.74,ID,1667835568
303,christchurch,-43.5333,172.6333,9.41,87,4,1.54,NZ,1667835282
304,kamenka,51.3223,42.7678,1.14,79,100,2.75,RU,1667835568
305,severo-kurilsk,50.6789,156.125,2.18,71,93,6.62,RU,1667835569
306,brae,60.3964,-1.353,10.15,87,67,7.26,GB,1667835569
307,maamba,-17.3667,27.15,24.58,62,100,1.62,ZM,1667835569
308,mundo nuevo,18.7,-95.5,26.99,76,7,5.9,MX,1667835570
309,kranuan,16.7067,103.0788,24.69,68,2,2.32,TH,1667835570
310,biak,-0.9131,122.8766,24.49,88,99,1.13,ID,1667835571
311,port alfred,-33.5906,26.891,20.1,84,98,2.24,ZA,1667835571
312,tuatapere,-46.1333,167.6833,9.74,88,96,1.33,NZ,1667835571
313,mwinilunga,-11.7358,24.4293,18.59,90,99,1.7,ZM,1667835572
314,payo,-3.7508,103.6372,23.2,98,100,0.09,ID,1667835572
315,grand gaube,-20.0064,57.6608,24.22,69,1,0.89,MU,1667835573
316,hay river,60.8156,-115.7999,-20.01,77,40,3.6,CA,1667835573
317,batagay-alyta,67.8006,130.4114,-19.36,87,100,1.54,RU,1667835573
318,allapalli,19.4167,80.0667,20.0,69,5,0.96,IN,1667835574
319,port macquarie,-31.4333,152.9167,14.2,86,21,0.65,AU,1667835574
320,sabha,27.0377,14.4283,20.53,32,0,3.62,LY,1667835574
321,north bend,43.4065,-124.2243,6.71,95,100,6.17,US,1667835575
322,tongren,27.7172,109.1853,17.63,66,1,1.52,CN,1667835575
323,yumbel,-37.0833,-72.5667,27.26,28,10,1.07,CL,1667835575
324,hami,42.8,93.45,7.0,31,73,0.62,CN,1667835576
325,kapit,2.0167,112.9333,23.22,100,100,0.44,MY,1667835576
326,edeia,-17.3383,-49.9314,33.61,22,0,3.83,BR,1667835577
327,juneau,58.3019,-134.4197,-4.32,75,0,4.63,US,1667835441
328,san patricio,28.017,-97.5169,28.29,67,1,5.74,US,1667835578
329,bria,6.5423,21.9863,21.78,87,91,2.44,CF,1667835579
330,caravelas,-17.7125,-39.2481,26.27,52,81,4.32,BR,1667835579
331,skagen,57.7209,10.5839,11.84,84,78,10.43,DK,1667835528
332,yanam,16.7333,82.2167,23.05,73,97,1.55,IN,1667835580
333,chabahar,25.2919,60.643,26.88,78,0,5.59,IR,1667835580
334,chernyshevskiy,63.0128,112.4714,-10.92,97,100,1.02,RU,1667835580
335,chapais,49.7834,-74.8492,2.88,65,81,7.4,CA,1667835581
336,nyurba,63.2842,118.3319,-22.49,98,67,1.1,RU,1667835581
337,tiznit,29.5833,-9.5,26.47,18,17,1.38,MA,1667835582
338,tete,-16.1564,33.5867,32.74,37,28,1.17,MZ,1667835582
339,praia,14.9215,-23.5087,31.3,45,0,6.17,CV,1667835582
340,ballina,-28.8667,153.5667,13.9,97,42,1.84,AU,1667835583
341,santa rosa,14.3122,121.1114,28.39,82,73,3.01,PH,1667835329
342,tual,-5.6667,132.75,28.96,74,80,4.75,ID,1667835583
343,keti bandar,24.1447,67.4497,26.57,63,0,3.78,PK,1667835584
344,kingston upon hull,53.7446,-0.3353,14.13,52,100,6.69,GB,1667835584
345,wenling,28.3669,121.36,16.47,82,98,1.86,CN,1667835584
346,russell,32.3502,-85.1999,26.34,78,20,2.06,US,1667835585
347,hasaki,35.7333,140.8333,12.34,85,81,5.01,JP,1667835585
348,gejiu,23.306,103.1635,8.33,93,12,1.56,CN,1667835585
349,srivardhan,18.0333,73.0167,24.67,61,65,2.1,IN,1667835586
